<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,19/08/17,000000,69.3260000,69.3260000,69.0839000,69.3000000,12
EURRUB,D,20/08/17,000000,68.9913000,69.4680000,68.9913000,69.2805000,189
EURRUB,D,21/08/17,000000,69.3240000,69.8850000,69.0500000,69.8346000,7738
EURRUB,D,22/08/17,000000,69.8700000,69.9140000,69.2080000,69.4310000,7209
EURRUB,D,23/08/17,000000,69.4950000,69.8710000,69.3240000,69.7005000,7224
EURRUB,D,24/08/17,000000,69.7320000,69.9950000,69.5480000,69.7230000,7271
EURRUB,D,25/08/17,000000,69.7970000,69.9700000,69.4720000,69.7650000,7095
EURRUB,D,26/08/17,000000,69.8510000,69.8690000,69.5855000,69.6410000,24
EURRUB,D,27/08/17,000000,69.8210000,70.0660000,69.4720000,69.8761000,381
EURRUB,D,28/08/17,000000,69.8850000,70.1520000,69.5470000,69.9714000,6942
EURRUB,D,29/08/17,000000,69.9950000,70.9469000,69.8770000,70.3767000,7219
EURRUB,D,30/08/17,000000,70.4260000,70.4870000,69.3550000,69.3760000,6629
EURRUB,D,31/08/17,000000,69.3550000,69.7207000,68.8230000,69.0380000,6946
EURRUB,D,01/09/17,000000,69.1060000,69.2000000,68.0830000,68.0830000,7053
EURRUB,D,02/09/17,000000,68.1760000,68.1760000,68.0470000,68.1440000,10
EURRUB,D,03/09/17,000000,68.1940000,68.2940000,68.0390000,68.2000000,154
EURRUB,D,04/09/17,000000,68.2820000,68.9940000,68.1480000,68.6880000,5829
EURRUB,D,05/09/17,000000,68.7930000,69.0720000,68.1172000,68.4310000,6936
EURRUB,D,06/09/17,000000,68.4230000,68.6820000,68.2100000,68.3890000,6205
EURRUB,D,07/09/17,000000,68.3890000,68.6230000,67.9819000,68.2960000,8931
EURRUB,D,08/09/17,000000,68.4080000,69.1290000,68.2960000,68.8760000,9252
EURRUB,D,09/09/17,000000,69.0420000,69.0420000,68.8780000,69.0420000,7
EURRUB,D,10/09/17,000000,68.9640000,69.0530000,68.8010000,68.8410000,143
EURRUB,D,11/09/17,000000,68.8350000,69.0430000,68.2330000,68.2950000,7898
EURRUB,D,12/09/17,000000,68.3710000,69.0770000,68.2540000,68.9190000,7209
EURRUB,D,13/09/17,000000,68.9950000,69.4310000,68.5520000,68.7899000,8753
EURRUB,D,14/09/17,000000,68.8430000,68.9610000,68.0910000,68.4625000,8297
EURRUB,D,15/09/17,000000,68.5410000,69.1160000,68.3270000,68.7480000,8783
EURRUB,D,16/09/17,000000,68.8260000,69.0430000,68.6123000,69.0430000,11
EURRUB,D,17/09/17,000000,68.6270000,68.8480000,68.6070000,68.6070000,103
EURRUB,D,18/09/17,000000,68.7030000,69.5060000,68.5445000,69.3520000,9911
