<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,07/09/17,000000,57.3636000,57.4800000,56.7274000,56.8730000,217623
USDRUB,D,08/09/17,000000,56.8916000,57.4765000,56.7550000,57.3580000,184111
USDRUB,D,09/09/17,000000,57.3499000,57.3610000,57.3055000,57.3529000,29
USDRUB,D,10/09/17,000000,57.3630000,57.4951000,57.2700000,57.3602000,95
USDRUB,D,11/09/17,000000,57.3967000,57.4315000,56.9947000,57.2140000,177737
USDRUB,D,12/09/17,000000,57.2097000,57.7631000,57.0788000,57.6435000,197000
USDRUB,D,13/09/17,000000,57.6432000,57.9826000,57.5063000,57.9151000,227108
USDRUB,D,14/09/17,000000,57.9126000,57.9944000,57.3372000,57.4990000,218468
USDRUB,D,15/09/17,000000,57.5076000,57.7672000,57.3229000,57.6130000,181722
USDRUB,D,16/09/17,000000,57.6421000,57.8070000,57.5094000,57.5981000,31
USDRUB,D,17/09/17,000000,57.6400000,57.7068000,57.4850000,57.7068000,53
USDRUB,D,18/09/17,000000,57.6400000,58.1532000,57.4522000,58.0422000,162862
USDRUB,D,19/09/17,000000,58.0387000,58.3800000,57.6845000,58.0840000,212396
USDRUB,D,20/09/17,000000,58.0933000,58.2961000,57.6590000,58.2913000,228272
USDRUB,D,21/09/17,000000,58.2718000,58.4030000,57.7017000,57.9470000,224398
USDRUB,D,22/09/17,000000,57.9613000,58.0047000,57.3548000,57.5315000,182900
USDRUB,D,23/09/17,000000,57.5440000,57.5512000,57.4077000,57.5503000,29
USDRUB,D,24/09/17,000000,57.4783000,57.6863000,57.4291000,57.4778000,62
USDRUB,D,25/09/17,000000,57.5630000,57.7498000,57.1913000,57.4976000,217571
USDRUB,D,26/09/17,000000,57.5162000,58.1488000,57.2139000,57.8718000,216161
USDRUB,D,27/09/17,000000,57.8748000,58.3772000,57.7620000,58.1782000,237285
USDRUB,D,28/09/17,000000,58.1925000,58.5795000,57.8589000,57.9015000,235640
USDRUB,D,29/09/17,000000,57.9199000,58.0997000,57.4201000,57.5165000,216270
USDRUB,D,30/09/17,000000,57.5280000,57.5881000,57.5202000,57.5428000,29
USDRUB,D,01/10/17,000000,57.5270000,57.6600000,57.5270000,57.5830000,98
USDRUB,D,02/10/17,000000,57.5687000,57.9874000,57.3106000,57.8366000,204513
USDRUB,D,03/10/17,000000,57.9253000,58.1655000,57.7586000,57.8773000,166645
USDRUB,D,04/10/17,000000,57.9292000,58.0276000,57.4761000,57.6709000,199329
USDRUB,D,05/10/17,000000,57.6719000,57.7555000,57.3322000,57.7180000,205581
USDRUB,D,06/10/17,000000,57.7149000,58.2616000,57.6320000,58.1030000,231138
USDRUB,D,07/10/17,000000,58.1485000,58.2228000,58.1422000,58.1802000,29
USDRUB,D,08/10/17,000000,58.1750000,58.1867000,57.9580000,58.0122000,86
USDRUB,D,09/10/17,000000,58.1216000,58.5033000,57.9592000,58.1217000,178567
USDRUB,D,10/10/17,000000,58.1238000,58.4127000,57.7533000,57.9854000,195446
USDRUB,D,11/10/17,000000,57.9894000,58.1121000,57.7167000,57.7610000,203322
USDRUB,D,12/10/17,000000,57.7742000,57.8448000,57.5674000,57.6852000,203343
USDRUB,D,13/10/17,000000,57.6792000,57.8602000,56.9068000,57.3115000,201542
